City,State,Total Sales,Latitude,Longitude
rio de janeiro,RJ,1025443,-22.925254286686176,-43.309301807847696
sao paulo,SP,834112,-23.575224338691257,-46.619508979855304
belo horizonte,MG,513085,-19.91716513217276,-43.953075240174954
niteroi,RJ,224013,-22.892406457189,-43.09419982876475
curitiba,PR,181147,-25.44954674556533,-49.274543801246416
uberlandia,MG,166817,-18.917512174576718,-48.27250448799611
porto alegre,RS,159467,-30.04888887683706,-51.19571522085293
santos,SP,153269,-23.96515890493396,-46.32558560334799
campinas,SP,141627,-22.90289978576514,-47.07775065645778
santo andre,SP,123228,-23.65601877324722,-46.522429928484264
sao bernardo do campo,SP,104828,-23.714039936943422,-46.56112990446267
salvador,BA,104369,-12.977643999479273,-38.46073252977226
ipatinga,MG,101343,-19.47096375553968,-42.55750649757238
montes claros,MG,98050,-16.727131336179212,-43.86297305920872
florianopolis,SC,91899,-27.561736663162105,-48.50690237299588
divinopolis,MG,87112,-20.142497095350663,-44.88630481622021
sao jose dos campos,SP,85280,-23.216334588113458,-45.88804155014211
guarulhos,SP,84430,-23.4383920500652,-46.48802026896373
jundiai,SP,81363,-23.17877586709176,-46.91508233206324
ribeirao preto,SP,73573,-21.18404923185064,-47.8052269285317
vitoria,ES,72254,-20.283795396164315,-40.28998660288024
brasilia,DF,72248,-15.813306001275343,-47.99582980696886
sorocaba,SP,67263,-23.484548962836495,-47.46894874507599
itanhaem,SP,65088,-24.182428061066485,-46.80217225634122
sete lagoas,MG,59798,-19.457668687073348,-44.243610046540034
ubatuba,SP,58160,-23.45349763029941,-45.09370369615149
praia grande,SP,58127,-24.017334198715975,-46.44581447958915
maua,SP,56829,-23.669818312661256,-46.450221804986725
vila velha,ES,56040,-20.35126912327731,-40.29594073366016
juiz de fora,MG,55188,-21.75883807873875,-43.35882367518623
pocos de caldas,MG,54753,-21.791737868420977,-46.56633658114362
lavras,MG,54236,-21.244906450985912,-44.99890204046053
osasco,SP,52677,-23.537701344725324,-46.79075186579374
araruama,RJ,50138,-22.869018222470316,-42.323247443068624
recife,PE,48626,-8.082227247816698,-34.90721129556402
vicosa,MG,46964,-20.75447305609377,-42.87803970655872
conselheiro lafaiete,MG,44326,-20.655443468975907,-43.77638279601712
itabira,MG,43072,-19.631668597144134,-43.22265278175939
paracatu,MG,41724,-17.224249770525788,-46.874260050195325
mogi das cruzes,SP,40604,-23.52816848718459,-46.19293243549112
indaiatuba,SP,39990,-23.100503350720405,-47.22293753542685
sao caetano do sul,SP,39579,-23.627075185024395,-46.565082268116505
contagem,MG,38905,-19.919587904864752,-44.057805433983255
franca,SP,38768,-20.538504502660015,-47.3952165822084
mairipora,SP,38151,-23.331436159611084,-46.597021626075794
nova iguacu,RJ,36630,-22.743169299844435,-43.4635485243034
sao carlos,SP,36472,-22.01169302567975,-47.89235882881401
manhuacu,MG,36270,-20.25298917103984,-42.04080968653553
maringa,PR,36222,-23.417626622444516,-51.93382414594713
barueri,SP,35174,-23.510744425830975,-46.86914919554853
piracicaba,SP,34329,-22.723821287267103,-47.648058444238586
rio claro,SP,34167,-22.401496941185282,-47.56414673767531
pouso alegre,MG,33945,-22.235490949057738,-45.93367839423717
sao jose do rio preto,SP,33468,-20.811129531686603,-49.37821054091547
belem,PA,33334,-1.429619479217785,-48.47024895826458
diadema,SP,32451,-23.68758278990035,-46.612495086084735
carapicuiba,SP,31458,-23.545793712462853,-46.83870110673089
araraquara,SP,30431,-21.784794722283372,-48.17407556955636
unai,MG,30016,-16.363524491793743,-46.89551908336245
guaruja,SP,29369,-23.986127447548824,-46.25730294667258
balneario camboriu,SC,29124,-26.99152259771109,-48.632727880708224
fortaleza,CE,29111,-3.757257488256471,-38.52229703049593
jaguariuna,SP,28559,-22.694098674361825,-46.9852234779197
ijui,RS,28340,-28.387887512074148,-53.916205478627596
santa maria,RS,27492,-29.69374248226574,-53.80265512058062
limeira,SP,27221,-22.573189722862068,-47.40847974079638
ouro preto,MG,27090,-20.390405580786194,-43.505816230713535
taubate,SP,26959,-23.024352399954648,-45.56518299910999
campos dos goytacazes,RJ,26950,-21.763632878328295,-41.32244309752853
sao goncalo,RJ,26855,-22.827978244046694,-43.03599314108621
peruibe,SP,26775,-24.303188311461696,-46.98737137425799
goiania,GO,26403,-16.68995495836521,-49.27010514293696
londrina,PR,25915,-23.3169509632532,-51.16529336146225
itaperuna,RJ,25480,-21.20329463101819,-41.89386496737989
rio das ostras,RJ,25393,-22.51724884932098,-41.939229760422016
hortolandia,SP,25118,-22.88323206309912,-47.20316052461484
fernandopolis,SP,24795,-20.283897827434043,-50.25001542133986
bertioga,SP,24480,-23.81765711650305,-46.07870889080958
campo grande,MS,24241,-20.46777874812421,-54.61088608187235
pelotas,RS,24158,-31.755829873739764,-52.33986563075062
sao luis,MA,23689,-2.523341510913078,-44.258882538716406
taboao da serra,SP,23471,-23.62226646338817,-46.78004228504539
caratinga,MG,23253,-19.78735579745595,-42.13911549868808
sao jose,SC,23172,-27.58357679589423,-48.62413418225453
serra,ES,23088,-20.180919940602912,-40.241119777452404
bauru,SP,23040,-22.32753653366189,-49.06618182418023
joinville,SC,23034,-26.292638845682344,-48.84541351790934
sumare,SP,22921,-22.81856490727389,-47.22524515646521
maceio,AL,22744,-9.644723440671044,-35.71826311915444
lagoa santa,MG,22685,-19.638052954515953,-43.89926225888461
sao vicente,SP,22260,-23.965999540750662,-46.38404084020844
cotia,SP,22149,-23.6089050621317,-46.90878393716915
paulinia,SP,21904,-22.762304269117973,-47.162135618502106
embu-guacu,SP,21728,-23.835045093089292,-46.8141243529698
nova serrana,MG,20888,-19.873622880712816,-44.987052445546986
boituva,SP,20400,-23.28658218135728,-47.67114211477746
cuiaba,MT,20374,-15.593408767555522,-56.077020503339945
petropolis,RJ,20348,-22.479613416564085,-43.17058755399492
macae,RJ,20184,-22.38037861966608,-41.786514349524374
caxias do sul,RS,20014,-29.165380273344148,-51.183695108275465
curvelo,MG,19872,-18.762327968880044,-44.43282597611914
americana,SP,19870,-22.742619189623053,-47.32859483939863
registro,SP,19453,-24.49865524037601,-47.84564436146152
santana de parnaiba,SP,19403,-23.454764161229992,-46.87334807154882
itauna,MG,19269,-20.078400647495855,-44.57845811032078
sao jose do rio pardo,SP,18768,-21.584557841938423,-46.9427932354964
passo fundo,RS,18637,-28.27076267633943,-52.527416173983916
ilhabela,SP,18228,-23.8153007642555,-45.368911914539105
patos de minas,MG,18130,-18.58895447340665,-46.51468102227579
betim,MG,18120,-19.952859564094183,-44.16895142863761
duque de caxias,RJ,17937,-22.717538578065422,-43.293349177486185
canoas,RS,17768,-29.92224412089512,-51.17802597617675
governador valadares,MG,17573,-18.86060368232254,-41.95034516055002
itapevi,SP,17489,-23.550666233455345,-46.94244092325507
vespasiano,MG,17250,-19.73155407442334,-43.94211979895807
suzano,SP,16812,-23.544493873088637,-46.30776618793894
marilia,SP,16468,-22.195520518566056,-49.949530620735956
ponte nova,MG,16370,-20.410226821715636,-42.89931188989716
videira,SC,16350,-27.00452245337857,-51.152808530844105
vargem grande paulista,SP,16320,-23.62233836107439,-47.01265586806666
embu das artes,SP,16017,-23.655877420025472,-46.812606545769576
volta redonda,RJ,15870,-22.507220997034988,-44.099097772764395
itajuba,MG,15839,-22.424144088151063,-45.45441839837669
joao monlevade,MG,15765,-19.818353692774192,-43.17161249430574
cascavel,PR,15756,-24.956479723617388,-53.462325255093454
rio grande,RS,15710,-32.04680373820618,-52.113056471921425
porto seguro,BA,15700,-16.432103182202972,-39.07720639026589
pedro leopoldo,MG,15696,-19.61256856430693,-44.03975812098612
tres coracoes,MG,15506,-21.69323516468665,-45.259363486824455
ouro branco,MG,15435,-20.520432150660938,-43.704761149318
mongagua,SP,15400,-24.112220363397654,-46.666371216308576
joao pessoa,PB,15394,-7.118467512088313,-34.843856235865765
teofilo otoni,MG,15391,-17.859077787159315,-41.505763537432685
atibaia,SP,15075,-23.12200203442835,-46.558835737668645
barbacena,MG,14545,-21.220140177283586,-43.77287838361732
pirapora,MG,14476,-17.34138532318693,-44.93394143968492
araxa,MG,14357,-19.594516087435,-46.938539255354705
sao miguel do oeste,SC,14288,-26.73355485074086,-53.51823802125551
itajai,SC,14137,-26.90654004019669,-48.6788910655283
mariana,MG,14058,-20.374937756645455,-43.418188826611676
itu,SP,14019,-23.295037501575237,-47.30718977237881
birigui,SP,14013,-21.293220433920656,-50.340707225802824
artur nogueira,SP,13824,-22.570786711814478,-47.165647847939
uba,MG,13810,-21.117448160439896,-42.94331920697324
guaiba,RS,13801,-30.119626737781033,-51.33304961404269
luis eduardo magalhaes,BA,13588,-12.089151568693278,-45.79249830871936
blumenau,SC,13290,-26.906025496077298,-49.08671120382556
araras,SP,13057,-22.358805994096322,-47.37603083586906
valinhos,SP,13039,-22.965119533405556,-46.995869846123135
formiga,MG,13002,-20.462288456392717,-45.433425509610025
braganca paulista,SP,12965,-22.94533334968692,-46.54321024945064
jacarei,SP,12926,-23.298440164496725,-45.96330055952346
bom despacho,MG,12792,-19.74014045479232,-45.258611391789344
sao sebastiao do paraiso,MG,12728,-20.91399927632339,-46.98607145162985
sao joaquim da barra,SP,12628,-20.585828938596133,-47.86355909025438
nilopolis,RJ,12623,-22.810390797700027,-43.41964555872246
olimpia,SP,12600,-20.737416931837817,-48.908951203061456
sao joao de meriti,RJ,12525,-22.789122724555323,-43.37013921402917
guaxupe,MG,12400,-21.30617000977101,-46.71437883624422
dracena,SP,12350,-21.486683807888387,-51.53395507459642
itaquaquecetuba,SP,12328,-23.47207637068018,-46.34560300356853
capao da canoa,RS,12285,-29.736633937103537,-50.00871413105785
sao lourenco,MG,12274,-22.118146281129786,-45.05476140222323
congonhas,MG,12145,-20.510858275985875,-43.86240043101434
campo bom,RS,12136,-29.67698305268966,-51.06035322881095
pedreira,SP,12129,-22.741070713194695,-46.896738928118715
nova friburgo,RJ,12012,-22.279018723193268,-42.5321659438306
mogi-guacu,SP,11988,-22.358011857988373,-46.939406520792076
tiete,SP,11931,-23.101812170769886,-47.71207006761885
santa barbara d'oeste,SP,11826,-22.749713767291812,-47.3953001036538
barretos,SP,11715,-20.559640592703055,-48.56805593861737
